"filename", "language", "PHP", "SQL", "JavaScript", "Markdown", "JSON with Comments", "CSS", "JSON", "XML", "comment", "blank", "total"
"/Users/jarenquegan/Sites/vividly/PHPMailer/src/OAuthTokenProvider.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 35, 4, 45
"/Users/jarenquegan/Sites/vividly/PHPMailer/src/PHPMailer.php", "PHP", 2926, 0, 0, 0, 0, 0, 0, 0, 1933, 394, 5253
"/Users/jarenquegan/Sites/vividly/PHPMailer/src/POP3.php", "PHP", 181, 0, 0, 0, 0, 0, 0, 0, 234, 53, 468
"/Users/jarenquegan/Sites/vividly/PHPMailer/src/SMTP.php", "PHP", 737, 0, 0, 0, 0, 0, 0, 0, 617, 144, 1498
"/Users/jarenquegan/Sites/vividly/add_artist.php", "PHP", 325, 0, 0, 0, 0, 0, 0, 0, 18, 61, 404
"/Users/jarenquegan/Sites/vividly/add_comment.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 10, 19, 108
"/Users/jarenquegan/Sites/vividly/add_review.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 6, 16, 141
"/Users/jarenquegan/Sites/vividly/admin_profile.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 4, 11, 151
"/Users/jarenquegan/Sites/vividly/artist.php", "PHP", 314, 0, 0, 0, 0, 0, 0, 0, 7, 23, 344
"/Users/jarenquegan/Sites/vividly/artists.php", "PHP", 164, 0, 0, 0, 0, 0, 0, 0, 4, 11, 179
"/Users/jarenquegan/Sites/vividly/artists_dashboard.php", "PHP", 193, 0, 0, 0, 0, 0, 0, 0, 4, 13, 210
"/Users/jarenquegan/Sites/vividly/artwork_dashboard.php", "PHP", 213, 0, 0, 0, 0, 0, 0, 0, 4, 13, 230
"/Users/jarenquegan/Sites/vividly/assets/boxicons/css/animations.css", "CSS", 0, 0, 0, 0, 0, 354, 0, 0, 0, 32, 386
"/Users/jarenquegan/Sites/vividly/assets/boxicons/css/boxicons.css", "CSS", 0, 0, 0, 0, 0, 5373, 0, 0, 0, 52, 5425
"/Users/jarenquegan/Sites/vividly/assets/boxicons/css/boxicons.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/css/transformations.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"/Users/jarenquegan/Sites/vividly/assets/boxicons/fonts/boxicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1653, 0, 0, 1653
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-500px.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-99designs.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-adobe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-airbnb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-algolia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-amazon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-android.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-angular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-apple.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-audible.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-aws.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-baidu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-behance.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/jarenquegan/Sites/vividly/assets/boxicons/svg/logos/bxl-bing.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
